대여소 명,대여 건수,대여일자/월
2391. 구룡터널 입구(개포1단지아파트),4,202206
5082. 가양역 7번출구,5,202206
4719. 종로문화원 건너편,24,202206
3527. 왕십리 자이아파트,25,202206
4314. 탑성마을 버스정거장 옆,29,202206
3538. 서울숲 IT캐슬,38,202206
3923. 구로공구상가 앞,40,202206
2288. 안골마을입구,41,202206
2286. 탑성마을입구,43,202206
4322.서울추모공원 입구,49,202206
2536.서초종합체육관 입구,62,202206
4240. 아현문화건강센터,62,202206
2813.항동지구 3단지 302동 앞,63,202206
865.하얏트호텔 앞,67,202206
859.남산공원 야외식물원 앞,68,202206
2287. 능안마을입구,68,202206
4417. 성북청소년문화의집,74,202206
2612. 문정·가락 대여소 앞,78,202206
2506. LG유플러스 (방배사옥),81,202206
2096.서울특별시 동작관악교육지원청,83,202206
2393. 구룡사 앞 교차로 (보도육교),85,202206
3971. 순흥안씨묘 건너편,87,202206
2275. 염곡치안센터 건너편,87,202206
3003.래미안신공덕3차아파트,88,202206
1352. e 편한세상 보문아파트 내,98,202206
2201. 본마을 정류소 앞,99,202206
2816.항동지구 8단지 803동옆(주차장입구),100,202206
3878. 장로회신학대학교 주기철 기념관,101,202206
2289. 남태령역 2번출구,104,202206
2343. 세곡사거리 대왕파출소 앞,106,202206
3677. 강동구음식물재활용센터,109,202206
1680. 삼육대 제3과학관,110,202206
484.도동삼거리,118,202206
3699. 상일파출소 옆,123,202206
4324. 세화고등학교,126,202206
4363. 신금호역 2번출구 앞,128,202206
4709. 천지인 오피스텔 앞,128,202206
462. 신영동삼거리(북악터널방향),129,202206
3306.서울신우초등학교,130,202206
3418.창신역2번 출구,130,202206
3404.서울특별시 중부교육지원청,136,202206
2068. 총신대 앞(육교),137,202206
3403.서울특별시 교육청,137,202206
447. 신영동삼거리,137,202206
803. 한남초교 앞 보도육교,139,202206
1082.중앙보훈병원역3번출구,139,202206
4323. 내곡도서관,139,202206
381. 장충체육관,140,202206
4853. 송파 안전체험교육관,148,202206
1550.삼각산아이원아파트(105동 옆),148,202206
2541.옛골 입구,148,202206
2810.항동지구 3단지 311동 앞,149,202206
3648. 구룡역 4번 출구,152,202206
2282. 방배래미안아트힐 101동앞,154,202206
4782. 서소문역사공원,154,202206
4702. 평창동 주민센터,155,202206
4637. 용산시티파크 101동 앞,156,202206
4760. 서울역 7번출구,158,202206
3622. 은마아파트입구 사거리(1),159,202206
924. 메뚜기다리,161,202206
4044. 공릉산 백세문 입구,162,202206
4415. 미아초교버스승강장,162,202206
1379.길음뉴타운푸르지오아파트 3단지,162,202206
3610. 윗반마을 입구,163,202206
2395. 개포1단지아파트 입구 (보도육교),164,202206
3532. 왕십리KCC스위첸아파트,164,202206
3430.구기치안센터 앞,166,202206
991.흥국사 정류장,167,202206
429. 송도병원,168,202206
1052. 리싸이클시티,168,202206
4538. 양천공영차고지,169,202206
200. 국회의원회관,171,202206
2352. 서울본부세관(건설회관 앞),172,202206
2207. 내곡파출소 뒤 정자,172,202206
4332. 이수교차로,175,202206
4777. 약수동 주민센터,177,202206
486. 평창동주민센터 앞,178,202206
4612. 한남 준 J.FSS 앞,178,202206
2199.신봉천주유소 A,179,202206
564. 금호역 3번출구,179,202206
4541. 갈산문화예술센터,181,202206
3781. 강서아동복지센터,182,202206
1342. 성북쉼터 앞,183,202206
4265. 안산초등학교 앞,185,202206
2805.구로자원순환센터,186,202206
4305. 서일스포츠센터,189,202206
2392. 구룡산 입구 (구룡산 서울둘레길 입구),195,202206
2248. 서초리슈빌S 글로벌 앞,196,202206
2284. CJ오쇼핑앞,196,202206
523. 옥수동성당 옆,196,202206
4523. 구립양천어르신요양센터,198,202206
2257. 청계산 입구 삼거리,198,202206
4772. 중앙일보,202,202206
4638. 청파동삼거리 앞,203,202206
1424. 양원역 2번출구,204,202206
3431.로제우스 레포츠센터,204,202206
4178. 이수성결교회 옆,204,202206
556. 달맞이공원,206,202206
969. 은평 지웰테라스,206,202206
2401. 밀알학교 입구 (삼성서울병원 입구),207,202206
2210. 반포1동 주민센터 앞,207,202206
2225.백석예술대학교 제3캠퍼스 앞,208,202206
4479. 문정중학교,208,202206
3615. 서울 논현동우체국 앞,209,202206
937. 상림마을 롯데캐슬2단지 옆,209,202206
1242. 문정 법조단지6,209,202206
2510. JW타워,212,202206
4668. 기자촌사거리,213,202206
968. 은평뉴타운 상림마을 13단지,214,202206
2347. 두산건설 본사,215,202206
2809.항동지구 11단지 1103동 앞,218,202206
2806.항동지구 4단지 입구,218,202206
3922. 서울남부교정시설 앞,219,202206
4617. 동원베네스트 건너편,219,202206
2092.흑석한강푸르지오(110동),219,202206
443.호암아트홀,220,202206
4309. 서초케이타운앞,220,202206
4623. 라인프랜즈이태원점 앞,221,202206
4327. 몽마르뜨공원입구,221,202206
2659.서울친환경유통센터,221,202206
2141. 미림여고입구 교차로,223,202206
1866.서울안천초등학교 옆,224,202206
2386. 크린랩 본사,224,202206
2061. 한강 현대아파트 건너편,224,202206
1039. 고덕초등학교,224,202206
1467.sk신내 주유소앞(용마산로),226,202206
1572. 우이동 먹거리마을,227,202206
2533.한가람미술관 앞,229,202206
2079.중앙대학교 중앙광장,229,202206
1007.암사동 선사유적지,230,202206
2807.항동지구 1단지 105동 앞,231,202206
4310. 염곡동(염통골) 입구,231,202206
4801. 충정로역 2호선(엘리베이터 앞),232,202206
1250.문정2동 주민센터,232,202206
1422. 신내우디안아파트 1단지,235,202206
3915. 동선아파트 앞,236,202206
4488. 문현중.고등학교 사이,238,202206
2334. 삼호아파트 2동 ( 간선도로),239,202206
4177. 롯데캐슬 101동 앞,240,202206
465. 삼청공원 앞,240,202206
1066.생태공원앞 교차로(조명탑),241,202206
4239. 성산2동 주민센터,243,202206
1089.고덕 래미안힐스테이트(201동),244,202206
2532.국립국악원 앞,244,202206
921. 신도고등학교,245,202206
2304. 대현그린타워,246,202206
2040. 비계 버스정류소,246,202206
938. 금암 문화공원,247,202206
2226. 신동아럭스빌아파트 앞,247,202206
3967. 혜명양로원 담장 옆(2),248,202206
3910. 목양전원교회 앞 로터리,248,202206
4584. 국회2문,249,202206
3649. 구룡역 5번 출구,250,202206
1445. 용마지구대,250,202206
854.HID 유족동지회 앞,251,202206
3652. 한영외국어고등학교,251,202206
3556.신금호파크자이APT앞,253,202206
4907. 극동스포츠 앞,254,202206
1855. 성지아파트 옆 도로변,256,202206
4830. 신내 우디안 111동 앞,257,202206
4021. 중계본동 입구,257,202206
3698. 명일역 3번출구 옆,258,202206
384. 종로학원본원,259,202206
1283. 오금공원 사거리,259,202206
3911. 항동하버리안2단지아파트 후문,261,202206
855.이촌역5번출구 앞,261,202206
831. 이태원관광특구입구,262,202206
1427. 용마산역 1번출구,263,202206
2093.상도SH빌아파트 입구,264,202206
3531. 논골사거리(금호도서관 입구),267,202206
4681.박석고개(은평소방서) 앞,268,202206
1861.IBK기업은행 석수역 지점 앞,270,202206
3563.구의7단지현대아파트,270,202206
2545.국립중앙도서관(국제회의장옆),270,202206
4611. 국제루터교회 앞,271,202206
3524. 세종대학교,271,202206
4896. 위례포레샤인15단지,274,202206
3970. 시흥4동주민센터 앞,274,202206
3647. 구룡역 1번 출구,275,202206
3005.마포구청 청사내,276,202206
3429.HW컨벤션센터 앞,276,202206
1675. 월계문화체육센터,278,202206
2311. 학동로 래미안 아파트 앞,278,202206
1541. 삼양역,279,202206
1062. 고덕숲 아이파크 2,280,202206
2425.세곡동 사거리(대왕초등학교 정류장),280,202206
2808.항동지구 2단지 202동 앞,282,202206
4319. 삼성전자R&D어린이집 뒤,282,202206
2398. 더라움,283,202206
2417.선정릉 디캠프(D.CAMP)앞,285,202206
945. 기자촌 사거리,287,202206
2249. 우솔초등학교 맞은편,287,202206
3972. 산기슭공원 앞,287,202206
2064. 흑석한강푸르지오 106동앞,287,202206
2517.서초3교(효령로69길 방면),287,202206
3621. 휘문고교 사거리,289,202206
3616. 역삼중학교 앞(체육관 방향),289,202206
1864.산호시티빌 옆,290,202206
297.국회3문,290,202206
1393.돈암육교 하단,291,202206
4613. 서울갤러리아 앞,291,202206
2269. 주홍교 하부,292,202206
974.연신초등학교옆 마을마당,294,202206
4221. 솔리스타오피스텔(공덕동주민센터),297,202206
1376. 한국과학기술연구원 중문,297,202206
2130. 영어마을 관악캠프,299,202206
2403. 공무원연금매점 교차로 (개포주공9단지 입구),299,202206
1377. 한국과학기술연구원 북문,300,202206
1435. 능산삼거리,300,202206
4153. 흑석동효사정앞,300,202206
3428.서울미술관,300,202206
4262. 서대문자연사박물관 입구,301,202206
432. 마포중앙도서관,301,202206
3602. 한국지역난방공사강남지사,302,202206
4473. 마천금호어울림 1차 102동앞,302,202206
1842. 한울중학교,304,202206
3902. 항동지구5단지 501동 앞,304,202206
934. 신사동 성당,305,202206
5852. 대림동현대2차 201동 앞,305,202206
4672. 준빌딩 앞,307,202206
3111.무악재역 4번 출구,307,202206
2350. 래미안그레이튼102동앞,307,202206
4639. 동빙고근린공원,308,202206
1730. 도봉산역 교차로 앞,308,202206
3561.행당동 삼부APT후문,312,202206
1453. 중랑캠핑숲,312,202206
422. 문화비축기지,314,202206
3624. 대모산입구역 7번 출구 앞,315,202206
3126.남가좌동 제2공영주차장,315,202206
4266.국민연금공단충정로사옥,316,202206
1406. 망우청소년수련관,317,202206
3539. 서원마을,317,202206
3810. 신봉천주유소 B,317,202206
1392.돈암삼성풍림아파트,319,202206
483.남산타운아파트 버스정류장,319,202206
1816. 금천폭포공원 앞,320,202206
4879. 마천청소년센터,321,202206
3973. 독산2동주민센터 앞,321,202206
812. 용산전쟁기념관,321,202206
3920. 개봉역2번출구 B,322,202206
1857. 주공14단지,323,202206
1951. 천왕이펜하우스 4단지 후문,325,202206
2283. 그룹한빌딩옆,326,202206
3503. 광진유진스웰,326,202206
1836. 금천구립 독산도서관,327,202206
2519.서초2교(사임당로 방면),328,202206
2235.KT 서초지사 앞,329,202206
2383. 보금자리정원,329,202206
4903. 신사스퀘어,331,202206
2354. 청담역 2번출구,331,202206
1410. 면목 대원칸타빌아파트,332,202206
1200. 개화광역환승센터,334,202206
2371. 한국우편사업진흥원,334,202206
3564.나루마당,334,202206
4461. 한양3차아파트 3동 앞,336,202206
2078.흑석 아크로리버하임(103동),338,202206
3100. 북성초교,338,202206
608. 전농삼성아파트,339,202206
1101. 개화동상사마을종점 버스정류장,339,202206
681.서울특별시 동부교육지원청(육교),340,202206
3401.창신두산아파트,341,202206
4304. 서울고앞,343,202206
1353. 금호어울림센터힐 내,343,202206
994.북한산생태공원입구(교통섬),343,202206
4158. 노량진근린공원,345,202206
1558.강북문화정보도서관,349,202206
1304. 만해공원,350,202206
4625. 용산공원갤러리앞,350,202206
2256.양재동 꽃시장 입구,351,202206
4632. 용산 푸르지오 파크타운 1단지 앞,351,202206
2203. 청계산입구역 2번출구,351,202206
802. 한강진역 2번 출구 앞,352,202206
992.북한산입구 정류장,352,202206
977.신도중학교앞,353,202206
4834. 용마복지센터 앞,354,202206
1847. 독산주공 14단지 버스정류소,354,202206
3611. 방죽마을 입구,355,202206
4312. 반포미도2차아파트 옆,357,202206
3530. 왕십리자이아파트 후문(삼거리),357,202206
3620. 청담역 11번 출구,357,202206
4892. 성내유수지 체육공원,358,202206
3114.충정로역 3번 출구,359,202206
3714. 송천센트레빌,360,202206
3551.성동도로사업소,362,202206
2609. 보성중고등학교 후문 앞,363,202206
2548.반포1동 자율방범초소 옆,363,202206
4585. 국회6문,363,202206
3555.양지사거리(센트라스APT 115동앞),364,202206
4881. 거여동사거리 송파둘레길 입구,364,202206
4802. 새우개마을,364,202206
1820. 신한은행 시흥대로금융센터지점,366,202206
3974. 안천중학교,369,202206
3637. 세곡데이케어센터,369,202206
4608. 국립중앙박물관 정문 앞,369,202206
4580. 국회3문,369,202206
2817.천왕이펜하우스5단지 앞,371,202206
1850. 코오롱테크노밸리,372,202206
451. 청와대앞길,373,202206
1969. 궁동생태공원,373,202206
2038. 동작역 7번출구,374,202206
3427.인왕산 아이파크 정문,375,202206
823. 효창동주민센터 앞,376,202206
2363. 강남 을지병원 교차로,378,202206
858.녹사평역3번 출구,378,202206
4315. 이투스교육 앞,380,202206
2071. 대림아파트 후문 상가 옆,381,202206
1538. 솔밭공원역,383,202206
3105. 홍은센트레빌 아파트 앞,383,202206
1463.중랑구민회관,383,202206
616. 서울시립대 앞,383,202206
1196. 서울식물원(문화센터) 건너편,383,202206
2516.본마을 노인복지센터 앞,384,202206
4583. 의정관,384,202206
2349. 역삼빌딩 앞(하나은행 옆),384,202206
1181. 농수산식품공사 (강서지사),385,202206
295.영등포공원 분수대 앞,386,202206
1459. 용마한신아파트사거리,386,202206
2184. 구암초등학교 버스정류장,387,202206
2804.항동지구 6단지 602동 앞,387,202206
1852. 혜명양로원 담장 옆,387,202206
4582. 국회도서관,388,202206
3117.이화여대 인문관 인근,390,202206
1038. 강일 다솜 어린이 공원,391,202206
3109.북한산더? 106동 앞,391,202206
2390. 구룡마을 입구 (래미안블레스티지 아파트),392,202206
352. 중앙고입구 삼거리,392,202206
435. SK 남산빌딩,393,202206
2165. JK장평타워,394,202206
442.서울역 서부,395,202206
3426.독립문역 2번출구 뒤,396,202206
1703. 도봉산광역환승센터앞,396,202206
4840. 서울시 북부병원 앞,397,202206
1823. 상신정비공업 앞,399,202206
3402.이화공영주차장,399,202206
4684. 응암2동주민센터 버스정류장(영락중학교 방면),400,202206
1756.서울북부광역등기국,400,202206
4752. 삼성사이버빌리지아파트,400,202206
4234. 에스테반,400,202206
1426. 면목도시개발아파트 1동 앞,401,202206
2814.항동지구 10단지 1001동 앞,401,202206
1728. 서울북부지방법원,403,202206
1979. 구로1동우체국 앞,403,202206
1858. 500번·507번 버스 종점 앞,405,202206
1316. 고려사대부속중고 건너편,406,202206
569. 응봉현대아파트 정류소,406,202206
3663. 암사정수센터교차로(강동롯데캐슬퍼스트아파트),408,202206
1054. 말우물 어린이 공원,409,202206
1370. 복자사랑 피정의 집,409,202206
973.제각말푸르지오 5-1단지 아파트,410,202206
3703. 신성교회 앞,412,202206
3766. 강서문화센터,413,202206
4602. 숙명여대앞 버스정류소 주변,414,202206
2309. 청담역(우리들병원 앞),416,202206
1314. 정릉꿈에그린1단지 201동 앞,416,202206
2406. 논현동 광명빌딩 앞,417,202206
1365. 선잠단지 앞,418,202206
3672. 고덕중학교 후문,418,202206
1510. 번동주공5단지 관리사무소 앞,418,202206
127. 현대벤처빌 앞,419,202206
3806. 낙성대 교수아파트,420,202206
4885. 가든파이브 리빙관,421,202206
449. 일성아파트,421,202206
428. 명보사거리,421,202206
173. 서대문역 8번출구 앞,422,202206
4811. 한양수자인아파트 앞,423,202206
2057. 상도 아이파크 아파트,424,202206
161. 무악재역1번 출구,425,202206
3310.영락고등학교,425,202206
2427.개포고등학교 정문앞,425,202206
4329. SC제일은행 양재동지점 앞,427,202206
2285. LH서초3단지 301동 맞은편,427,202206
724. 계남공원 입구 주출입구 좌측,428,202206
1006. 롯데캐슬 115동앞,429,202206
1071.명일근린공원공동체텃밭,431,202206
4703. 쌍용아파트2단지 정문,433,202206
4162. 노량진1동 청소년독서실,434,202206
2041. 사당중학교 버스정류소,436,202206
494.신수동주민센터,436,202206
1263. 장지공영차고지,436,202206
830. 청암자이아파트앞,436,202206
679.전농SK아파트 앞,438,202206
2305. MCM 본사 직영점 앞,439,202206
1513. 강북구청 뒷편,443,202206
3646. 선정릉역 4번 출구,443,202206
410. 상암중학교 옆,446,202206
2258.구룡사 삼거리,447,202206
1865.금천구청앞(M빌딩),449,202206
4761. 탐앤탐스 을지로3가점,449,202206
959. 구파발10단지 인근,449,202206
4784. 중부경찰서앞 사거리,450,202206
171. 임광빌딩 앞,452,202206
4888. 둔촌오륜역 2번출구,452,202206
1290. 위례송파꿈에그린아파트24단지 앞 성벽 다리 밑,453,202206
4609. 파크타워 104동 앞,457,202206
1757.솔밭공원역 1번출구 앞,457,202206
2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),458,202206
1635. 상계3.4동 주민센터 대여소,458,202206
3630. 개포우성6차아파트 정문 앞,458,202206
1315. 고려사대부속중고 정문,461,202206
4762. 국제빌딩,462,202206
3521. 현대홈타운 뒷길,464,202206
1714. 도봉문화정보도서관 삼거리,464,202206
4827. 신내SK V1센터 앞,465,202206
3634. 국악고교 앞 교차로,465,202206
4667. 폭포동입구 교차로,467,202206
2382. 역삼동 sk뷰 501동앞,467,202206
1323. 월곡역 입구 육교 밑,467,202206
1573.현대성우아파트 옆,468,202206
5751. 송파여성축구장,469,202206
2223. 방배래미안 정문 앞,470,202206
3802. 관악구민체육센터,472,202206
867.서빙고역 광장(1번출구),472,202206
966. 서울혁신파크1,473,202206
4490. 송파파인타운 10단지 1005동,474,202206
1053. 동명근린공원 진입로 (아리수로),474,202206
2326. 대치동 삼성로,474,202206
2094.숭실대학교(중문),474,202206
4815. 중랑데시앙플렉스 앞,475,202206
978.녹번 힐스테이트상가앞,475,202206
1868.우리은행 시흥남자동화점 앞,476,202206
2351. 청소년수련관(수영장)앞,478,202206
3659. 명일초등학교 옆,479,202206
2649.오금공원사거리2,479,202206
1188. 롯데중앙연구소,480,202206
952. 서울연신중학교,480,202206
3661. 명일동신동아아파트 앞,480,202206
3307.봉천고개 육교,483,202206
2329. 르네상스호텔사거리 역삼지하보도 2번출구,484,202206
1971. 오정초교 앞 보도육교,485,202206
2368. 도곡동 경남아파트 건너편,485,202206
159. 이대역 4번 출구,486,202206
4247. 서울서부지방법원등기국앞,486,202206
1731. 도봉고등학교 맞은편,487,202206
928. 은평역사한옥박물관,487,202206
2535.신반포역 3번출구 뒤,488,202206
1037. 강일리버파크 6단지,489,202206
4581. 국회소통관,490,202206
4807. 라코지스테이 앞,490,202206
2520.서초1교 (진흥아파트 방면),490,202206
2307. 압구정 한양 3차 아파트,492,202206
4622. 한강중학교 앞 버스정류장,495,202206
4883. 위례포레샤인18단지 1812동,497,202206
4607. 국립중앙박물관 -용산가족공원 앞,498,202206
4636. 용산구꿈나무종합타운 앞,498,202206
1161. 강서면허시험장 앞,499,202206
851.효창 푸르지오 앞,499,202206
3804. 낙성대공원,499,202206
4043. 상계주공13단지 1301동,500,202206
3682. 길동 동호빌딩,506,202206
4776. 신세계면세점,506,202206
4040. 공릉로 26길,507,202206
964. 북한산힐스테이트 7차아파트,507,202206
2380. 삼성동베이직하우스앞,508,202206
1477.면목삼익아파트 앞,509,202206
3799. 국립항공박물관,509,202206
1366. 일신초등학교 옆,509,202206
2825.초롱타운 앞,509,202206
869.노들섬 동측 앞,510,202206
4064. 신창아파트 입구 앞,510,202206
2370. 한티역 3번출구,511,202206
4604. 원효로다목적체육관 앞,512,202206
164. 북가좌1동 주민센터,512,202206
2280. 서울서초고용센터앞,513,202206
2376. 수서역 6번출구 앞,513,202206
1910. 낙원교회 맞은편,513,202206
2270. 서초포레스타 7단지,515,202206
2388. 강남구 도시관리공단,515,202206
1213. 백토공원 앞,516,202206
2272. 교대입구 교차로,517,202206
971. 역촌 센트레빌 아파트,519,202206
2241.양재전화국 사거리,520,202206
479.동대입구역 3번 출구,521,202206
4516. 신진빌라,521,202206
2083.흑석롯데캐슬에듀포레(107동),522,202206
1819. 금천구청 앞 자전거거치대,523,202206
534. 금호사거리,527,202206
1034. 고덕동 래미안 힐스테이트,528,202206
3547.상왕십리역 6번 출입구,528,202206
522. 금호역 1번출구 앞,528,202206
1571.북서울 꿈의 숲 입구,529,202206
2428.롯데리아 개포점앞,530,202206
967. 서울혁신파크2,530,202206
1967. 참새공원(백곡경노당),530,202206
3134.SK리쳄블(상수도사업본부),530,202206
3654. 강동리버스트4단지아파트 405동 앞,531,202206
120. 신수동 사거리,532,202206
2502. 서초역1번출구 앞,533,202206
2318. 삼성중앙역4번출구(문화센터더 리빌),534,202206
2323. 주식회사 오뚜기 정문 앞,534,202206
822. 이촌1동 마을공원,535,202206
2381. 언주역 6번출구앞,536,202206
4882. 위례포레샤인18단지 1802동,537,202206
1522. 월드전기조명인테리어(우이동),538,202206
2353. 강남구청역 2번출구 뒤,538,202206
1418. 새솔초등학교,538,202206
3968. 독산동 현대홈타운 금천과선교 앞,538,202206
1069.강동경희대학교병원 입구,539,202206
1258. 가락미륭아파트 앞,539,202206
3688. 상일동산(동아아파트앞 교차로),539,202206
139. 연세대 정문 건너편,541,202206
4485. 잠실나루역 고가하부,542,202206
2298. 래미안서초스위트앞,543,202206
4454. 위례 포레샤인 1809동 부근,543,202206
2818.천왕이펜하우스3단지 앞,543,202206
2907. 월계중학교,543,202206
1421. 신내역 4번출구,544,202206
489.구룡근린공원,544,202206
3006. 상암월드컵파크5단지(상암중학교),544,202206
621. 동대문중학교 옆,545,202206
469.회현역 1번출구,546,202206
2650.위례22단지 2208동 다리앞,549,202206
1679. 삼육대 도서관,549,202206
1863.위너스 스포츠클럽 골프연습장옆,550,202206
3636. 삼성중앙역·플래티넘아파트 정류소,551,202206
466.롯데호텔,551,202206
2143. 서울산업정보학교,553,202206
4579. 국회의사당 본관,554,202206
4045. 은하수 공원,555,202206
941. 은평뉴타운 도서관,555,202206
1992. 구로구배드민턴실내체육관 앞,555,202206
1504. 다이소 삼양시장점,556,202206
827. 국군복지단,559,202206
4248. 신촌 교보빌딩,559,202206
1826. 한신코아 앞,563,202206
1279. 마천금호어울림 1차아파트 건너편,564,202206
1853. 서울디자인직업전문학교 앞,565,202206
2088.상도중앙하이츠빌 입구,565,202206
2358. 구룡초사거리 (현대아파트10동 앞 ),566,202206
4718. 광화문역 6번출구 옆 A,567,202206
1058. 고덕숲 아이파크 1,569,202206
1717. 시립창동운동장 입구,570,202206
533. 금남시장 교차로,572,202206
1761.방학중학교 앞,572,202206
1539. 4.19민주묘지역,572,202206
